,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 IT,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[KR] 신한지주,[KR] 하나금융지주,[KR] KB금융,[KR] 우리금융지주,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 아마존,[US] 제타,[US] M7 ETF,[US] 모멘텀 ETF,[US] 반도체 ETF,[US] 소프트웨어 ETF,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 일라이릴리,[US] 존슨 앤드 존슨,[US] 애브비,[US] 제이피모건,[US] 뱅크 오브 아메리카,[US] 모건스탠리,[US] 골드만삭스,[US] 이즈코프,[US] 이머징 마켓,[US] 선진국 마켓,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드,[IDX] 닛케이225,[KR] 코스피200롱150숏선물
[IDX] KOSPI,1.0,-0.060132011217422225,0.9523710630669756,0.8275112138792399,0.7497542724957122,0.8157129931039553,0.886015526621028,0.8962630657935794,0.7566279652379075,0.8452161106554688,0.8412936203116004,0.6166792071775328,0.5958301185064546,0.5855863983070609,0.33145365021578227,0.8025651572492443,0.9356264176504087,0.7263874630326282,0.5672460867981082,0.9534184273731636,0.8995620999195646,0.6697907895253616,0.8679619015550881,0.619929166937945,0.8657142138373264,0.8479651626194697,0.8415037908162802,0.8570502661634191,0.8271415207497002,0.8270349191934256,0.9086426081411536,0.8956764163649266,0.8480182315358131,0.8163407121050402,0.7931729496641743,0.9352206891343063,0.7660668514313954,0.6139777790090972,0.653112454810492,0.8677414666843499,0.5028353457520546,0.6697463782445093,0.8693234816276444,0.8068429614462529,0.8108585209210225,0.7748795225472809,0.7462909778444058,0.8668296965019375,0.7899936885347824,0.24740324632256916,0.9131317273719305,0.8748247394762894,0.7173858431765127,0.8185721621413563,0.8897391551005791,0.7903067428250039,0.8345965575499774,0.5991244491018809,0.8757545359895287,0.7913359760897286,0.8005837220844321,0.10013879229893947,0.5383883673756013,0.8338059370835109,0.5626497795999698,0.8425817787463676,0.8598813106970763,0.8558801177277957,0.6553452441455146,-0.6633449680775227,-0.5134397935033953,0.6865773663231743,0.6119325544288616
[IDX] KOSDAQ,-0.060132011217422225,1.0,0.5517290884624945,-0.07088598849898865,0.06381264502913232,0.2777537184378768,0.7662082143227156,0.4754192509460394,0.5669168337291709,0.4068603048136343,0.37772522527581515,0.839140275455298,0.8311515857753478,0.7404023318560149,0.5235795860243581,0.625062465813857,0.7522440707002546,0.3206159784625762,0.8467938803340845,0.6733748992755428,0.4797829781987524,0.7774353445185239,0.4402209630777629,0.04457182191474605,0.4401723277621495,0.4671453300241085,0.23346633040569817,0.11023433867968686,0.1490478982320411,0.14888824330063738,0.06074169493300815,0.7062208152490893,0.7785817559696679,0.17275645744132634,0.3287578194095954,0.7918188841476744,0.7061842683317591,0.20543572006094005,0.2565211420689499,0.5620528356207771,0.26074000292484445,0.19864835325117297,-0.0054834423906600475,0.622236942391937,0.026999123320161387,0.13997692407193216,0.17615618459079838,0.7179645212759136,0.22197465899949384,-0.13661684723300938,0.6453199712962354,0.7896231110126942,0.6005100893396336,0.7774075385193044,0.7816125768352834,0.04927084045186548,0.12642982513326614,0.14369880651316277,-0.014156199740793603,0.5737851370088194,0.17960327042702923,0.13445911938670765,0.18630996536400662,0.22369063523805643,-0.342617365707608,0.6910487761903967,0.7688209780100781,0.4694417268688096,0.237450975252297,-0.5721694739966026,-0.47709148865114215,0.3950192456820226,0.3380471092103204
[US] 한국 추종 ETF,0.9523710630669756,0.5517290884624945,1.0,0.8891104228712585,0.7387427068249732,0.719659653103375,0.729036273981,0.707969016178003,0.5606982882083781,0.7100963914436769,0.6703819338624708,0.6866580920641263,0.6074254146263645,0.5492142129713495,0.11998128328551509,0.6451318705081456,0.7491297595876689,0.5812509809008376,0.6980690337251825,0.773641619354685,0.7300932125518992,0.6638031124714896,0.7184391770566124,0.5533384515655851,0.7108475505888592,0.6672657174153719,0.6423635745427969,0.7005033016185427,0.6624676045356379,0.6623179651976349,0.7842186555016432,0.7851516324526591,0.6889141173205788,0.6505251377962433,0.6255443167350271,0.7475487887508504,0.5834285077428375,0.4530100491039634,0.5271452575366422,0.6561717918878351,0.4583887999301653,0.5135606309091283,0.6879906949546919,0.6439366709592321,0.7582339088257726,0.5899138787974278,0.565533873291284,0.6435647754742068,0.6396517548771072,0.184937343913287,0.9150702539800556,0.6286470512824586,0.5406690137869709,0.6528919389380343,0.6284293585367996,0.5853857877000735,0.7289525581645061,0.41510618908395563,0.7245088309478709,0.46257608504984166,0.6483120485036947,0.06589469422326874,0.34791952930978076,0.6860544707710622,0.520836291089347,0.9465923812700681,0.8915610507193417,0.6391778852841145,0.5272977894626699,-0.4561705040801662,-0.34894350056482004,0.6398749855590526,0.5945467744487999
[IDX] 항셍,0.8275112138792399,-0.07088598849898865,0.8891104228712585,1.0,0.8130022253373137,0.48975590244551237,0.010384744987107737,0.09167031022051718,-0.1992674690655172,0.1653569001227347,0.1477420941039053,0.17858969952769485,0.04314038145193385,-0.08811166367508017,-0.6377393248090556,-0.11689767594642934,-0.04201943352952847,0.030814057772145024,0.32818876189022134,0.042450852571551456,0.1406753356837944,0.29392849822420153,0.17463854594336597,0.3476116775456284,0.1334137004771988,0.08309333867555703,0.25419192919968636,0.6429057517960135,0.6101696570417238,0.5585894606723875,0.7449710829147883,0.5824688133681782,0.43510088845092043,0.557918655510554,0.3848874205052757,0.14245562121968935,0.29805283915758124,0.22374583719424168,0.41162141310792355,0.11692439601583525,0.7485603417283356,0.33919120349570175,0.6473062988934154,0.33827872330299685,0.7254212873676211,0.4366092867914676,0.43912901266436866,0.23754167068881069,0.44942790515558245,0.30150242414224643,0.9766953384841042,-0.00877227154772329,0.28177472399315323,0.38704123831513365,-0.09663650554417898,0.5651457332194372,0.7519513289133947,0.3013466982529288,0.7526358127985239,-0.22613051092559877,0.5854472068572648,0.3178983386769862,0.36811799522748984,0.4872819027725941,0.5644249356616774,0.8801864605682532,0.7742359218646926,0.22354511206322392,0.07969584657320983,-0.18952968513379337,-0.25913493825074846,0.20471289068807963,0.480486538370819
[IDX] 상하이종합,0.7497542724957122,0.06381264502913232,0.7387427068249732,0.8130022253373137,1.0,0.5657470332311019,0.6984771919906638,0.6261066068477817,0.6077108707631056,0.6250831066196453,0.5739799640772072,0.5439754634866772,0.5201919047158511,0.43983202447841563,0.35716043594881114,0.6414244955041637,0.6906812457582181,0.4006920915189885,0.7344559672719627,0.7222591967426062,0.6664593878235832,0.6473958795639484,0.5770371083051623,0.3864656243784594,0.5561425302363235,0.5883492810468489,0.7401888631702924,0.5768606334096923,0.5444640358690535,0.5444208181429048,0.617282583512975,0.5513971590538558,0.4984225441831084,0.5265717752710382,0.47659950994560374,0.7164694497553008,0.4283865934886273,0.3429637233452695,0.3928897160619876,0.6141879727526558,0.3738567238126955,0.4072108285739284,0.5647583795321124,0.37896306308802513,0.5118558765195649,0.4867550216160923,0.46671265429091024,0.3958554645485707,0.512564153937989,0.2702587428122737,0.9587002309600748,0.727668387240676,0.4064691680049859,0.4669168046988135,0.6852224043383776,0.47038808042276753,0.5621357794475772,0.3610826070678706,0.5879628469721228,0.6043837117414286,0.507797109525883,0.13874726680026958,0.4055077102572886,0.577220505024537,0.4019064509913011,0.7841930937399438,0.751146963830445,0.2980019470578103,0.10760345301413764,-0.060831324105088576,-0.018239909261055207,0.5026947928894694,0.6609004866455044
[IDX] 대만가권,0.8157129931039553,0.2777537184378768,0.719659653103375,0.48975590244551237,0.5657470332311019,1.0,0.8523503491332416,0.8909771134221964,0.8518220604337209,0.7242291297353095,0.8036304591529938,0.4450759060807419,0.4415864384968306,0.5944770312248536,0.3724754380499449,0.7889650021722382,0.9259620780562524,0.6527464490128569,0.3570140534232365,0.942241535090966,0.8894648620645607,0.6208075275915166,0.8939102502412377,0.5904048287440469,0.8940685749086894,0.9296653479386185,0.9008771217970898,0.9460342743484285,0.9701576284520281,0.9701111350014736,0.9030746408801573,0.9212671528113612,0.9735370995110825,0.9702317728555211,0.9742884199370141,0.9722638957779913,0.9742705706780204,0.8898314080436779,0.9183944707453704,0.9371301979700992,0.40516054640226956,0.9370854294009832,0.9060303802144222,0.9166865281052768,0.7410421283376736,0.95795436752277,0.9609399852806325,0.9797459786594903,0.9261626834617233,0.7507595627181913,0.9903152604309162,0.9545207912226782,0.9616014751214523,0.9597747196817962,0.9252569330150221,0.949394332905659,0.88888576295701,0.9073700798818769,0.838524343340707,0.9497314923484732,0.9707477064240276,0.33988823663937695,0.7937525262206059,0.9616586250421032,0.24575542855600702,0.6010533362490091,0.8056313201758222,0.8873730411558057,0.6440721321403808,-0.5875401230860086,-0.40282744709826374,0.9540708965788413,0.1607816337950336
[KR] 삼성전자,0.886015526621028,0.7662082143227156,0.729036273981,0.010384744987107737,0.6984771919906638,0.8523503491332416,1.0,0.8014259640744751,0.6267771539584973,0.6127043429301359,0.675180119222955,0.60742077312769,0.5997490513346824,0.725408487441788,0.4341419795302523,0.629287242049751,0.9725934196332245,0.4572104642743302,0.5357152911855021,0.9342348608999207,0.733427707010927,0.6960000855862094,0.724490966892159,0.3418286898677024,0.7496377819362684,0.745687404677933,0.8076006484403464,0.9050448548430324,0.8854374477379101,0.8853300832957717,0.8986226505576197,0.8989714781638588,0.8916174818550997,0.9032362594726915,0.894093459250096,0.8630386612190496,0.8804907997505993,0.7101421542686893,0.850564012950488,0.7707009717050344,0.17650974497993793,0.8860021726500409,0.7759009001168058,0.750221606365366,0.32760033772069697,0.8587003680966646,0.8903475906659253,0.9033746661542856,0.9010550562617718,0.0684696462528998,0.7155424360458621,0.9137354281366956,0.8389772702008276,0.9165021307008389,0.8828659396664608,0.8492265562089022,0.8060781475709596,0.6988054001872838,0.9358823637450208,0.8278068152926845,0.871895505738622,0.864202618324949,0.869175755200445,0.8181342680713279,0.43717786758242455,0.691861055885917,0.7925870299799963,0.8191021123432409,0.7789074193653047,-0.6496844595435802,0.009005370079279373,0.8798152594816683,0.5889287630780463
[KR] SK하이닉스,0.8962630657935794,0.4754192509460394,0.707969016178003,0.09167031022051718,0.6261066068477817,0.8909771134221964,0.8014259640744751,1.0,0.709818989339124,0.9117931933836378,0.9684135700972214,0.29300919642504747,0.2616779213594269,0.31931381335861697,0.09053941614362146,0.679340212308567,0.8741594050869033,0.7778183468695069,0.29941528523649724,0.943546152370803,0.9775598367329614,0.5385775127427571,0.9345195003225983,0.7631360511237507,0.9190592005669019,0.9123866640416688,0.9597330827862239,0.8067840116667643,0.8522836728458625,0.8524590702596028,0.7576737284112814,0.7582941031682117,0.8447710140439593,0.8526248256272847,0.8522125497563341,0.8609115446137124,0.8731377465818623,0.9224638217969272,0.9822490303112423,0.9773142573290123,-0.11367706848331695,0.8835771584374347,0.7286586580622633,0.9661365797639739,0.7515176103582987,0.7909583135205135,0.8238323997277794,0.9018742844181585,0.7332303778508473,0.44152404128734485,0.9239345016020035,0.8309120850748618,0.9202068961501682,0.7997413570168785,0.7909584544948024,0.9074485779328698,0.7770194397735175,0.7703359270606882,0.7267015975947508,0.8488853769239918,0.9121463444196247,0.7521334670220642,0.8819351695503704,0.9324032208645351,0.7820899410933896,0.6658017833573763,0.8563578219692884,0.9557633071951247,0.9417455324947152,-0.28234902951006985,0.28858457939151716,0.906565407418563,0.47427394448405935
[KR] 현대차,0.7566279652379075,0.5669168337291709,0.5606982882083781,-0.1992674690655172,0.6077108707631056,0.8518220604337209,0.6267771539584973,0.709818989339124,1.0,0.650037749147501,0.6372720340269057,0.49257775997476083,0.5302204398031116,0.6000447259847901,0.589254581540034,0.9239509127951305,0.7636342511542723,0.6573565548005439,0.5586474060045235,0.7676559689735674,0.7673637823191373,0.41733038097746655,0.7167318168395989,0.5027094688641677,0.7138278059553839,0.7474140455260418,0.6804751988845636,0.750237186448648,0.8162855097954861,0.8163767701575435,0.7367604273069538,0.7355788854634215,0.8154865912769196,0.8235379832727904,0.8295878353702795,0.8456534308052986,0.8410211092550992,0.8075414261774926,0.772184710426076,0.7656258431610019,-0.35301126961904855,0.8519391360152004,0.8558705063710694,0.7599178928099162,0.47886312866787656,0.8266755945442983,0.8190601093165334,0.8191769084080102,0.7096762539478155,0.761316018624879,0.8309266378855608,0.7687184836600994,0.8390118112386279,0.793751796888159,0.8286944951862163,0.7959394466866311,0.7352470117389596,0.8072285437913608,0.5977519224298057,0.7645466398157211,0.7545490893180435,0.6613949358268985,0.8366308885910647,0.8193314633289942,0.4953519625078492,0.6115618062404826,0.7802630758570808,0.7944298559915774,0.8128086880468504,-0.20055169563730282,0.42978405006165904,0.7910045247777744,0.09304830090491432
[KR] 두산에너빌리티,0.8452161106554688,0.4068603048136343,0.7100963914436769,0.1653569001227347,0.6250831066196453,0.7242291297353095,0.6127043429301359,0.9117931933836378,0.650037749147501,1.0,0.9542591924082813,0.310039951396271,0.2534627760591192,0.128072099046449,0.13176684207562747,0.7072771592082598,0.7150361141729694,0.868348332207455,0.40702603166128704,0.8180373442874163,0.9303469732050341,0.37582005032384636,0.8379808304764461,0.7741454641300115,0.803973967699507,0.7758598287085838,0.92308326703128,0.5709721562897602,0.6549542760269753,0.6552104079988977,0.5694873687829571,0.5705524402865058,0.6493777482587259,0.6702576824130123,0.6654869166882939,0.7351592469230782,0.6899400515260374,0.7938061937664808,0.8583230171149305,0.8786193974306106,-0.12882056667394437,0.7248943958616857,0.5532799950158732,0.9171544395463771,0.860264160448328,0.5842281969481462,0.6264585626160023,0.7557982042761546,0.516497393342343,0.27202670834410264,0.8889353656729845,0.6391891014168788,0.763078456352647,0.6091103914078919,0.687941862331909,0.7187121427367588,0.5208482821475827,0.5661192000613171,0.511780317543284,0.6508337992740424,0.7408572703536057,0.5722738568291431,0.7499794743005517,0.8296745177763322,0.8288895599739831,0.6130381064012208,0.7489518550550707,0.8409013630186709,0.872612267852007,-0.1051862062427543,0.3223458622056835,0.7183079586901457,0.6340146261786217
