,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 닛케이225,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드
[IDX] KOSPI,1.0,0.0254985238510885,0.963109195422404,0.7831072893354388,0.7290782029211967,0.7668758157782054,0.882640380760744,0.9754474502291549,0.9630211808938386,0.9264020279173633,0.8954250286510247,0.8731218750155824,0.3805144175451167,0.37422164594096874,0.5654118881191883,0.24361466046879635,0.9056818311166522,0.9080385427090307,0.7637001819206325,0.9844875942758703,0.9602449956080962,0.6966701026686178,0.9458130644573978,0.8674366966822631,0.8597725330118864,0.8598340748217271,0.8968298161367945,0.875755341297976,0.8609539476447277,0.8567969583333038,0.8361542363106721,0.8433989929531792,0.8585439521264105,0.7646213586997422,0.7926724726095864,0.8904773887438593,0.4508813796504899,0.7260060112281379,0.7814411207425007,0.9057500389720495,0.859550517724398,0.8248031849351755,0.753979429569477,0.9176059912968225,0.8001184216341798,0.8628848852115358,0.8369136674634546,0.7880323384264035,0.5462937984229873,0.9219512186905364,0.8364097718479548,-0.4036567847036735,-0.1419355880180103
[IDX] KOSDAQ,0.0254985238510885,1.0,0.6697170535631438,0.34723701465177637,0.009128319597321787,-0.035331745338111925,0.28305174008558864,0.8244381984156445,0.6954453920841183,0.6726191932766021,0.5690256027989186,0.5528461270263226,0.5613559768255145,0.6396846549241826,0.8393267296237045,0.5546737214412238,0.7339540075963479,0.6361593693282643,0.9074405517434809,0.798331568160092,0.6988534189513296,0.8210939120543664,0.7456537801110468,0.12144744350007497,0.16966697500689568,0.16985616484434168,0.09395785348301541,0.7747201812947413,0.7913072760805835,0.2240371474919581,0.28253178545094093,0.8388993469189914,0.7765383141051908,0.19377243736377314,0.3096359884432762,0.7182197073149637,0.5453716164120744,0.24146846533839322,0.1564517924284613,0.7384490525209428,0.10078909584954546,0.1386627461375207,0.17782958281540742,0.8304308749292328,0.8192765629260695,0.12188941436565146,0.11323919084400212,0.48173191946352356,-0.24365094540387813,0.6717022175218474,0.48984191454682163,-0.48084827127150886,-0.2567460769710586
[US] 한국 추종 ETF,0.963109195422404,0.6697170535631438,1.0,0.7649605583522383,0.7602423267836873,0.7183152128402891,0.8111926557305131,0.9151701039580273,0.8760133836802338,0.879659365515637,0.8096627172509272,0.7426386110134978,0.440052526055932,0.3781021320795055,0.6339123913848738,0.22616596673608932,0.8585925137673267,0.839590436175288,0.770127247452119,0.9080286654582647,0.8637314839621039,0.7036005269863057,0.849557127217695,0.7572929645015144,0.7460701402157952,0.7461103737470828,0.8315940941766692,0.8324410229908918,0.7618054390379695,0.751529173007937,0.7287615291705859,0.7205780604493648,0.7378479060254479,0.6259649392120683,0.7371328389564338,0.7370982055062271,0.5598543403470349,0.6137677009974195,0.6730398566539245,0.8238645020787029,0.8205160945538607,0.6891424914032626,0.6194718351555653,0.7958493714566859,0.6740547386539271,0.7130966619468587,0.7679944412227235,0.7115072205574983,0.5047439086403612,0.8043736065399376,0.7872694451332081,-0.28467998176203063,-0.057208992365866095
[IDX] 닛케이225,0.7831072893354388,0.34723701465177637,0.7649605583522383,1.0,0.18048440921560674,0.5509519807924963,0.9641548600069137,0.8940605385679844,0.8519096011519062,0.8088849341649915,0.7302575651889113,0.8323699738375742,0.360149526249639,0.43114762261329537,0.524644731229702,0.35416018784072356,0.8392777706026817,0.7591519038331739,0.6986257611731626,0.9037153578297055,0.8617085698352449,0.6732085452794555,0.9109403843939586,0.8161015164921215,0.7544709335313924,0.8820194379633961,0.6487707562577478,0.9114241169615842,0.9681129495721222,0.7950176867620661,0.9629774193980396,0.9551818724353773,0.9711769650572593,0.8906611437976623,0.7714336601000404,0.9310683502176574,0.2635121700447994,0.8198407839946474,0.6877733811908047,0.8490723055549066,0.6392549383060591,0.8145564845085252,0.7871274046894492,0.9590647893003076,0.8729924680794205,0.7380299995486045,0.5623837557021857,0.799255174771769,0.1260716117742935,0.8394220987802015,0.6038671780363666,-0.5429602428679758,-0.2847242330496332
[IDX] 항셍,0.7290782029211967,0.009128319597321787,0.7602423267836873,0.18048440921560674,1.0,0.7958104104170951,0.4616839390408428,0.10145418918379727,0.09587515577168694,-0.02040975493792909,-0.017078484974527477,0.057292755535058554,0.1083704832539049,-0.07508516976570562,0.20493848525136002,-0.5701678383354185,-0.0691540794620377,-0.018931815816365653,-0.008999014966909231,0.0657802907819248,0.07628715210007535,0.4691713011766765,0.06270524901142126,0.6869712685293555,0.6422015787559824,0.6031095295270187,0.7804233769998632,0.6496599730994741,0.47764680716141655,0.6020292339767563,0.4408907795127767,0.029821463600231125,0.3155152390729369,0.22428336627923104,0.37429301113445507,0.016498543749872207,0.7388028968374342,0.3075661335824065,0.6544409307181116,0.32933096552038843,0.5316582343036917,0.4854007187577584,0.477764690528998,0.29460595945751794,-0.05320700579912131,0.5698759521475264,0.7537289316588285,0.8404398844936658,0.49215766894383384,0.3350448747092091,0.16429314146528723,-0.25369421875767545,-0.2639477248438899
[IDX] 상하이종합,0.7668758157782054,-0.035331745338111925,0.7183152128402891,0.5509519807924963,0.7958104104170951,1.0,0.6174431233506814,0.6614151436952261,0.6074271607026964,0.4640138557901322,0.505905587545765,0.5493188198464285,0.32074083398984793,0.38472435951490197,0.5018157162936301,0.2954414906328077,0.4840735650766809,0.4780003387123752,0.8051767555087838,0.641511734657974,0.6374134732707334,0.6118870913369068,0.6071028121762462,0.6811009048162064,0.6409406203806781,0.6409786583405369,0.7257152688376031,0.6836657153810101,0.6287883685705902,0.6273163727046898,0.6012613331724292,0.645923907499101,0.5470699108597469,0.45250276615047136,0.4361213608145454,0.6251822980880667,0.319104672032186,0.4441241590527494,0.6217464972539225,0.4877894540208534,0.5461458478929551,0.610069073561889,0.553610903806099,0.5453904339692902,0.6499192127702295,0.5741150690933483,0.6653207989698415,0.8528718372672551,0.4229650331564496,0.5460716650789392,0.34515127521363925,-0.10340151899163323,0.02099226825853516
[IDX] 대만가권,0.882640380760744,0.28305174008558864,0.8111926557305131,0.9641548600069137,0.4616839390408428,0.6174431233506814,1.0,0.9165913871772016,0.8853953291560607,0.8350592628765996,0.7927797131345987,0.8731264665356694,0.418083371839348,0.4736767128176239,0.5398675377295479,0.3232285126611404,0.8548690058874902,0.8028185860147002,0.7618845313863657,0.9294915583826675,0.8924182087315568,0.6496380833208653,0.931330955173694,0.9317933777995168,0.9610122220037659,0.961040402598262,0.8815805221964316,0.898673773092444,0.9626686074838787,0.9653649390249103,0.9713922626269348,0.9709530113917806,0.9809758170790875,0.9229664827053844,0.8882363415569353,0.9684569273931901,0.41870216641748215,0.9055940548695472,0.8246004521007214,0.8934621557072034,0.7866979779807303,0.953613474052689,0.9160051241525328,0.9904198843207147,0.9256493381963702,0.9622704449647119,0.9004983977456371,0.8976261590983649,0.2914369655059201,0.9312646595066673,0.7448311659919561,-0.45259253709191455,-0.16018390998364007
[KR] 삼성전자,0.9754474502291549,0.8244381984156445,0.9151701039580273,0.8940605385679844,0.10145418918379727,0.6614151436952261,0.9165913871772016,1.0,0.9521624491095824,0.8711706530461437,0.8355560854121258,0.8327507370943664,0.413020523614983,0.4326632900197267,0.5690326165287717,0.21897498510671232,0.8445767461438561,0.8429785897473442,0.7023580859417548,0.9846739954516854,0.9319373651301905,0.6875550983185321,0.9154175098590782,0.8009438486530861,0.8230094131759879,0.8230921435678829,0.8169955070226826,0.8174800231920568,0.8266890567815575,0.8435565860151597,0.8303549628916428,0.8533986581133449,0.8937792611615277,0.8265063669236905,0.9726710882474232,0.8751744660016982,0.31835589318032653,0.8142728739316345,0.535286649028985,0.9465451597733084,0.8354800654578809,0.7806010529693367,0.6974014547576144,0.9298153857789936,0.8103445409027156,0.8741101101056302,0.7797262242553572,0.7360321514344277,0.7070446540699508,0.905846447839738,0.9263108741364183,-0.19715715667658953,0.4038377065587503
[KR] SK하이닉스,0.9630211808938386,0.6954453920841183,0.8760133836802338,0.8519096011519062,0.09587515577168694,0.6074271607026964,0.8853953291560607,0.9521624491095824,1.0,0.9159845010834367,0.9405088052714671,0.93392431272089,0.19043736320910712,0.1918705313509893,0.34590280830279957,0.06703575196309829,0.8485328652404049,0.9263839445941835,0.5852381852119144,0.9812406359572238,0.9926683632264831,0.6052589629337697,0.9522652872792818,0.703235365967094,0.7514633200958792,0.7516943295002296,0.6736526129129295,0.6741662241852246,0.7476406656759589,0.7605037404716073,0.75667403633657,0.7808740232786001,0.8294017089155286,0.8694748940610635,0.9906437095516051,0.9124092786475504,0.13004581553900169,0.7123748432123084,0.39239889141479845,0.9920291757899651,0.9340169984138873,0.7013513616007325,0.582801435693639,0.9009153064577244,0.7070787092747532,0.8910713066572864,0.7272891129183804,0.8297639872486631,0.8234562623871197,0.9382205825759323,0.9696238728624854,-0.027607331418290124,0.5005754078514345
[KR] 현대차,0.9264020279173633,0.6726191932766021,0.879659365515637,0.8088849341649915,-0.02040975493792909,0.4640138557901322,0.8350592628765996,0.8711706530461437,0.9159845010834367,1.0,0.9345609590812604,0.879349920554809,0.24909081699046,0.21084104084484984,0.3970877989554003,0.30797034975798204,0.9717814737828805,0.9589016421170213,0.7427446151239979,0.9155922860747474,0.923152071063469,0.4729643033990335,0.9053734799515812,0.6333809123449562,0.6901198523943821,0.6905484700539093,0.6661658883003818,0.666489637892639,0.6912415787318067,0.6980037963654002,0.6930821162159753,0.7388526377002521,0.7774313094895746,0.8159960536368249,0.916837489393207,0.8427186387865706,-0.011795596805937059,0.684098820209204,0.4539959685459087,0.9256327813405187,0.8984169607326016,0.6417941394171982,0.5340017428761871,0.8232090791334928,0.678565891513195,0.8038827828994357,0.6376624684521113,0.7860500974800917,0.8257155472097368,0.8643930395323892,0.9434224344516834,0.20751619373304087,0.6887069393789405
