,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 닛케이225,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드
[IDX] KOSPI,1.0,-0.10898545779422239,0.9575953905403743,0.6485956560082071,0.8529730009151973,0.7435603193202053,0.7979875988111697,0.8601991747056306,0.7522448263316063,0.6569458112739132,0.5220170594565863,0.44889807511736757,0.7415823855302722,0.7942664029230677,0.7992682602157233,0.3524566347894196,0.772816998111069,0.5460617547436571,0.8158974267354354,0.8730099059292927,0.6418523792556389,0.5519349938642815,0.7050640205506337,0.859647079988598,0.8174167153195827,0.8173910560765667,0.924361616900572,0.9176671482506688,0.8392897175457661,0.8073232401716469,0.7746038073604936,0.8775162844160374,0.7396685172429237,0.5156170478267493,0.5466220729116742,0.6658938612786982,0.4262554422102841,0.57217215715904,0.8523574353099601,0.8122951145221446,0.8130606710102037,0.7666921492773877,0.7114704956798663,0.83687491214883,0.824422772610138,0.7558200619102062,0.7847319132722691,0.2841091782715686,0.49267664631768937,0.7977880686056085,0.5365000671339835,-0.6440586999503733,-0.4654368567383504
[IDX] KOSDAQ,-0.10898545779422239,1.0,0.11653724833836361,0.37311952286176575,-0.06299179055459418,0.030115136578522987,0.2721206891132622,0.8270361535412656,0.4907859225548521,0.3373338362125959,0.06848336724625449,0.07935241185545451,0.6237774170398465,0.7505658110480535,0.7652836861958434,0.626787852988923,0.467585859968191,0.1665863828943027,0.7902550366820477,0.7410049010515988,0.2980426401826035,0.7105410345934194,0.32844489741558164,0.09896840354246404,0.1425862522628171,0.14252426897464485,0.02821900788126206,0.3472485693997195,0.7592364573197673,0.16025944791474556,0.24077696014645145,0.7327135678861139,0.7165735343610382,0.11816906688005555,0.39343378511933325,0.4722785988961182,0.39630197073480333,0.2396807341387677,-0.019230256666475678,0.7341681228264211,-0.11820156133620588,0.11189297617133848,0.15224463303539845,0.7546104970102598,0.6759708605069877,0.02898051249076304,0.15648779244008454,-0.17255581715290907,-0.4363770640354458,0.44522004548899136,0.006844328801566851,-0.49528520388753317,-0.39809541608878407
[US] 한국 추종 ETF,0.9575953905403743,0.11653724833836361,1.0,0.6074415855766432,0.8542755966067901,0.6652951020636197,0.6849811238805441,0.6431296700440939,0.37338670416973546,0.5654065493520202,0.3073523447332335,0.14071222223979657,0.7375950686899169,0.7642404574858523,0.8385507873305029,0.2648995364037134,0.6710400892559734,0.410010009609757,0.8098300820700484,0.5682462183855789,0.3077653941554232,0.4403329452010092,0.40438927996813895,0.7059593199619026,0.6491859632066477,0.6490343415577018,0.8242962570894642,0.8253779748895796,0.6812710842130352,0.6361200659585196,0.6022254191121219,0.5718574674275126,0.5514466925717509,0.33171671817429793,0.35959372089071495,0.29135805037165713,0.2626929460897723,0.3813310213482428,0.670298559534747,0.6687802979361778,0.7882694220890902,0.5899567041446354,0.5231706574996839,0.5975644802875961,0.4703193004639833,0.5236694921026461,0.7165707143035092,-0.08598158751579536,0.47009644445839593,0.5477439724514931,0.4226703160719946,-0.42208593098589814,-0.2659428369401035
[IDX] 닛케이225,0.6485956560082071,0.37311952286176575,0.6074415855766432,1.0,0.13811964513587618,0.5310304951426139,0.9552879380233732,0.8189209580350367,0.9364009259013132,0.5989012813518005,0.511160423629766,0.5925977367809195,0.381180533080642,0.45214596954818287,0.5027077450452686,0.3877321384169484,0.6016179793918125,0.5386781032473682,0.37259547111112273,0.9298027135202075,0.7330775657620874,0.4018366358229437,0.7827427350986019,0.7804244789450535,0.6836020063029833,0.8357346952632353,0.5739467160777398,0.9047445705946592,0.9729533140098909,0.7289407739626311,0.9553669888103549,0.9255567999737655,0.9522781244144286,0.7961343745815649,0.6838698297843742,0.8362001037891533,0.12132736463348602,0.7545857614448965,0.7103788444645391,0.9145212815844896,0.36393133884260104,0.7693457039615016,0.7601784803190661,0.9574528970210681,0.8649347102661068,0.5983480797049925,0.47072601235113176,0.9377931917835367,-0.11165884756525887,0.7295246371158189,0.27450151396432526,-0.5406655572539596,-0.40355468534255234
[IDX] 항셍,0.8529730009151973,-0.06299179055459418,0.8542755966067901,0.13811964513587618,1.0,0.7738718520964015,0.46929181076413173,-0.18549918312074093,-0.2647096334302155,-0.3666636623049259,-0.10728491104949008,-0.0651089915995208,0.11165153644715747,0.1325028056809318,0.02628057785896488,-0.5692943408518926,-0.2916823245239594,0.025232170937687377,0.16863005763667493,-0.2862941157224829,-0.0015826721232463927,0.37904475869919585,-0.045476112095992616,0.6875333504235682,0.6395281664873995,0.5939559539203858,0.7972697321416935,0.6825329910005464,0.4799180151646853,0.5917042887801489,0.42354601823263266,0.018362037082689138,0.27322513269754967,0.12864055568263338,0.4264392351572739,-0.1035469932868533,0.7142520891973224,0.2784776466692627,0.6330252766572605,0.4579893761548059,0.8197693148488717,0.45790885167753986,0.43981436934416496,0.22768323623981526,-0.13965386379219638,0.5922055792564515,0.7254686230605649,-0.26064091212635593,0.5051505945377744,0.2785302799556156,-0.008714175420154211,-0.3474821673138627,-0.29328576030471826
[IDX] 상하이종합,0.7435603193202053,0.030115136578522987,0.6652951020636197,0.5310304951426139,0.7738718520964015,1.0,0.5370682015589996,0.0030412142375049397,0.03906198646110595,-0.15870822198121817,0.12508625067610032,0.06700854975635545,0.07486370676125914,0.18817597684332488,-0.03232173137467452,0.33427761595890315,-0.06403342022223367,0.16097127779543213,0.7887555499307503,0.06624651797577433,0.27387307960974966,0.18137113637467622,0.044625408949526754,0.5663454336257748,0.5265937530306033,0.5266296546191118,0.6421468217631179,0.5999795146117864,0.5024267624268886,0.5117567946507477,0.471482320681005,0.3135670840163917,0.38570220328176447,0.26860088258572185,0.31796368220790694,0.24836194784537002,0.24434311502179906,0.3086847768998028,0.540372930565983,0.43890470787670294,0.6378692919923907,0.4807221750379867,0.4204975073054186,0.34288088887497964,0.3156649047847636,0.44175771307211087,0.5069386201451903,-0.4459145048948849,0.30609969159626405,0.3221217128450404,-0.0076748705017807865,-0.291928543874396,-0.12039990960536164
[IDX] 대만가권,0.7979875988111697,0.2721206891132622,0.6849811238805441,0.9552879380233732,0.46929181076413173,0.5370682015589996,1.0,0.830490676136704,0.9470650730301446,0.7033461877854229,0.5705821243645429,0.5965873477720517,0.4745835246237046,0.530806632141963,0.5397860619839125,0.3373388081313451,0.7170515213369664,0.5626099070143961,0.43658429832963713,0.9506784233524043,0.7275665499599562,0.3809011142649991,0.8015264874389219,0.9558172827956051,0.9760892966302919,0.97601062779293,0.8997865743361637,0.9108104272047057,0.9797184566361117,0.9765875820851389,0.9782850187572295,0.9764634093980201,0.9766768974639284,0.8377838030971416,0.8697233936388383,0.8824587582870844,0.3151905061800583,0.9082241044715456,0.9380708525657522,0.9325332079738141,0.5917919874307291,0.9654595638464613,0.9618727856269338,0.9891892119324777,0.920451058521415,0.919934659891758,0.9013497028477567,0.953523243604648,0.10650211651659776,0.8483741471467917,0.5156210072326178,-0.5364842361025153,-0.3407381319309989
[KR] 삼성전자,0.8601991747056306,0.8270361535412656,0.6431296700440939,0.8189209580350367,-0.18549918312074093,0.0030412142375049397,0.830490676136704,1.0,0.7030836980644978,0.5947031273573032,0.15250219795155714,0.18269011622103692,0.6651593804204871,0.7263974436136199,0.8352007965941471,0.6916039730098487,0.6467189277586766,0.20178270743021598,0.6708077818759723,0.9288852078730042,0.36549022113374974,0.5240917653345342,0.5056193344701725,0.8693660092533954,0.8191401179864842,0.8189327528595757,0.9117086698600969,0.9107795496138171,0.8343619189005891,0.8429132896066531,0.8225643838985184,0.8270038259174173,0.8378527055997783,0.5244688285498665,0.7957160180688078,0.5136139967098022,0.2628270281895697,0.8546679034087558,0.7867680474745625,0.6584493562211231,-0.20917253908918765,0.844197703058065,0.8069376380141315,0.8555672759354515,0.7682083822102478,0.6283982835018291,0.750670942760939,0.22382297881167837,-0.045984315232320105,0.5908249075920786,0.6304324460402398,-0.6203644469972177,-0.1593561664258288
[KR] SK하이닉스,0.7522448263316063,0.4907859225548521,0.37338670416973546,0.9364009259013132,-0.2647096334302155,0.03906198646110595,0.9470650730301446,0.7030836980644978,1.0,0.6048847220677801,0.6519996116749719,0.7424028668091732,0.35812235152618116,0.37683556478497954,0.3597122515466269,0.016777100008701733,0.587710312140585,0.6197751296196042,0.3065476287175868,0.880250093918127,0.8381130701512869,0.4138080319895551,0.894754873600906,0.9217164502934542,0.9546850131500052,0.9546277197757207,0.8040204340338133,0.8028629950623225,0.9508756865653177,0.9487391287925384,0.952967657366541,0.9539358099310128,0.9455875423205117,0.9506681415326648,0.9646347227541553,0.9431378614313939,-0.21739327734578687,0.8807586361493456,0.8704112671679108,0.9251126254891435,0.08948471744231938,0.879379818135492,0.9374437748716578,0.93502944704361,0.7972756430309733,0.9518307432430936,0.8484873727523887,0.9011889595546808,0.4241964127722223,0.9256145442106,0.8991922282245443,-0.35746694706167914,0.1285109170554657
[KR] 현대차,0.6569458112739132,0.3373338362125959,0.5654065493520202,0.5989012813518005,-0.3666636623049259,-0.15870822198121817,0.7033461877854229,0.5947031273573032,0.6048847220677801,1.0,0.47544483526354686,0.2447818107232086,0.3557529858910983,0.4329420348080396,0.6482031792399503,0.5162824370211377,0.9555813471083244,0.5583061723428059,0.41419641274160934,0.7060899776626882,0.3697746872165628,-0.11632311255099881,0.5067582782610567,0.5570500568042673,0.595661536808476,0.5956967145955151,0.6141677478097545,0.6121242493347007,0.6019989487425419,0.5826764582566251,0.5834999350767011,0.6623257002495362,0.6528171920023133,0.5668778541370714,0.6787898908091156,0.4838616395707413,-0.3338879701769293,0.6375520098245858,0.7676141430942135,0.6490416818292316,0.29806054259726167,0.6084428960613898,0.5761367451836009,0.6473924834997679,0.5671615829801878,0.49480241591865765,0.5510097873075532,0.6869817398686497,0.2975453605373333,0.46492133968866034,0.7296167716309993,0.15144899651505514,0.5300335444671622
[KR] 두산에너빌리티,0.5220170594565863,0.06848336724625449,0.3073523447332335,0.511160423629766,-0.10728491104949008,0.12508625067610032,0.5705821243645429,0.15250219795155714,0.6519996116749719,0.47544483526354686,1.0,0.8900176467933174,0.24647446695794098,0.20768905493652579,0.0718839299663662,-0.003835048463858749,0.526154306877529,0.8949299337126518,0.4666771391351654,0.3877665133373155,0.8694882261647965,0.025184597393464143,0.794174002937298,0.4822529735795323,0.5605984413595715,0.5603954156823917,0.4302917906253568,0.4299972661540204,0.5569615359091157,0.5337099874225967,0.5441136045306317,0.5644573588298123,0.49884488949657824,0.6845778138466002,0.507807440271923,0.7499823416327577,-0.5887512570822515,0.4007468772472995,0.44117273323629946,0.7327035769967596,0.412677306930755,0.45426637272865555,0.5150418191860805,0.5037927359241753,0.605184343009006,0.6837516823117741,0.5328080498495517,0.43446350426814556,0.5393033047571135,0.7230511150156995,0.7952355285041494,0.14245742798271796,0.45917099039209686
[KR] 현대로템,0.44889807511736757,0.07935241185545451,0.14071222223979657,0.5925977367809195,-0.0651089915995208,0.06700854975635545,0.5965873477720517,0.18269011622103692,0.7424028668091732,0.2447818107232086,0.8900176467933174,1.0,0.1208468889854676,0.0768261349270832,-0.06524889586300597,-0.2421640261677351,0.27428141837279957,0.8036657279947652,0.23580040721360515,0.39368603744076636,0.9355888857122603,0.23074935896308998,0.8688486728710414,0.5963940373481259,0.6543407237494059,0.6542954894636207,0.44420006580248705,0.44430107503601746,0.6441220348401092,0.6295831168006195,0.643768666283774,0.6161693246575473,0.5693511355376534,0.7847163177247227,0.5720524910285829,0.8711277635945104,-0.4596728548614868,0.46070875828654,0.4163448785046007,0.7280853886477034,0.18860395240723887,0.5145218956926193,0.6206581732412704,0.5660762904656209,0.5943578372222337,0.8212827775712046,0.6128901675145353,0.48884505838780995,0.6115287106981063,0.838255309393839,0.7452785369701301,-0.08373838710108307,0.21770982385615795
[KR] 네이버,0.7415823855302722,0.6237774170398465,0.7375950686899169,0.381180533080642,0.11165153644715747,0.07486370676125914,0.4745835246237046,0.6651593804204871,0.35812235152618116,0.3557529858910983,0.24647446695794098,0.1208468889854676,1.0,0.949525982161457,0.6827402148816645,0.15241442283953202,0.5224245748010974,0.12573255477877993,0.8520926258857352,0.5637407590075948,0.2401231592270911,0.5286370149837839,0.25186140765459253,0.5110503783071996,0.46706592660718804,0.46633068295778135,0.669088336823366,0.6694673010371026,0.4968788973896784,0.5230662177594415,0.48056097704914846,0.5378076438733,0.4371728888940783,0.13816990283540248,0.4089044716749914,0.19239458143243143,0.4284245661821057,0.4494582695370646,0.45765690421068966,0.49690976847437135,-0.07841973579382569,0.46501325076272704,0.43645133533141983,0.4890664332535,0.5962438040387074,0.3433603490558051,0.3978750917248135,-0.4122011444269625,-0.3140207053437858,0.3926962367684909,0.495177802262822,-0.42211810478968287,-0.1460784971489891
[KR] 카카오,0.7942664029230677,0.7505658110480535,0.7642404574858523,0.45214596954818287,0.1325028056809318,0.18817597684332488,0.530806632141963,0.7263974436136199,0.37683556478497954,0.4329420348080396,0.20768905493652579,0.0768261349270832,0.949525982161457,1.0,0.7813033540506261,0.252983862771845,0.6044581530124322,0.18089718737256172,0.8225042076428762,0.6132252976163602,0.24662408456423587,0.5345083119677642,0.2555371174037966,0.5729692829200408,0.518381312309645,0.5178769241213538,0.7601188655809713,0.760281470104122,0.5512364116132942,0.5683854683618069,0.5235484208188134,0.590484643284551,0.49124134292394256,0.15684313127680427,0.45128883583238283,0.20076410910800907,0.4168784906936431,0.5065385066858403,0.5266951466024381,0.5330979743177964,-0.1295720128813161,0.5200929983217427,0.47982619170401813,0.5403119574083152,0.6357959685648088,0.36120626494846636,0.4608495815901911,-0.43792696631757094,-0.3234814527582359,0.37931576262759203,0.5058053997362784,-0.4241477155187904,-0.10946379637717718
[KR] LG전자,0.7992682602157233,0.7652836861958434,0.8385507873305029,0.5027077450452686,0.02628057785896488,-0.03232173137467452,0.5397860619839125,0.8352007965941471,0.3597122515466269,0.6482031792399503,0.0718839299663662,-0.06524889586300597,0.6827402148816645,0.7813033540506261,1.0,0.6749929155942813,0.7341528592437966,0.22416226525724772,0.6399174128179407,0.6797023458619998,0.11190217172270513,0.32081563574510097,0.2531197864211074,0.5748960882024198,0.504700581623755,0.504383750673059,0.7829858523852036,0.7826433986229175,0.5337432615793216,0.5321814541395844,0.4992132327364461,0.5558861367046835,0.5214159238016428,0.1618564533581106,0.4914548424569626,0.15868911187476215,0.3044838660850603,0.545247453509275,0.5196769515377971,0.43293503385439225,-0.0686673325458328,0.5463397926568331,0.46827330304726533,0.5494748450914339,0.5653615060474256,0.2823738823707563,0.45990554480789697,-0.3382878636802664,-0.07741711445973316,0.24065436645644142,0.43511150236635293,-0.3224708708269833,-0.01956655157405559
[KR] KODEX 2차전지산업,0.3524566347894196,0.626787852988923,0.2648995364037134,0.3877321384169484,-0.5692943408518926,0.33427761595890315,0.3373388081313451,0.6916039730098487,0.016777100008701733,0.5162824370211377,-0.003835048463858749,-0.2421640261677351,0.15241442283953202,0.252983862771845,0.6749929155942813,1.0,0.5102132833986268,0.12083407070620499,0.36529746946525826,0.45296116894211147,-0.1738205580052418,-0.4473369717291445,-0.12985977157235698,0.2821682212279319,0.2511653483994429,0.2507318911067395,0.37512772190416505,0.3711595626138921,0.25562812204550706,0.23576516403955103,0.25454776545098606,0.18078393367426449,0.3655744917148134,0.018470046870865783,0.18343438557702066,-0.02365616198144843,-0.2760562463343915,0.5347746162900623,0.3524433614609825,0.03546988930445943,-0.04607226185960701,0.5696508820486677,0.31076499672952285,0.36406857057215225,0.5158711797675417,-0.04927676285611427,0.3359478230936018,-0.39908480442119915,-0.1599180893036458,-0.04897938370282576,0.17814289900638877,0.04155071508154347,0.4284166758968163
[KR] KODEX 자동차,0.772816998111069,0.467585859968191,0.6710400892559734,0.6016179793918125,-0.2916823245239594,-0.06403342022223367,0.7170515213369664,0.6467189277586766,0.587710312140585,0.9555813471083244,0.526154306877529,0.27428141837279957,0.5224245748010974,0.6044581530124322,0.7341528592437966,0.5102132833986268,1.0,0.5693130140151554,0.5877817328488553,0.7186298009946267,0.4211978305141428,0.025032584195633506,0.5182497607115211,0.5958158346383718,0.6220067096334514,0.6219673144202953,0.7010116417145434,0.6996550080874039,0.635593645007876,0.6171500816038982,0.6079328585641196,0.6971421853630255,0.6531597895525196,0.5226285789856672,0.6434665821534703,0.47756332394871115,-0.26396907642537637,0.6326767650337833,0.7385017450273826,0.658513359019179,0.22065294110348493,0.6195213677580386,0.5845497407410268,0.6668881124962304,0.6475999221438474,0.5075453507355183,0.5935181111332852,0.4560348388923113,0.1637331193773003,0.4922791382992225,0.7654120355791106,0.004671352905467473,0.4000648952032274
