,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 닛케이225,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 소프트웨어 ETF,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 이머징 마켓,[US] 선진국 마켓,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드
[IDX] KOSPI,1.0,0.9687896499460305,0.9961423755579469,0.9905991006814621,0.7745908670928817,0.905191868955475,0.9286301904750226,0.9914015074905617,0.9948815704892129,0.9884157259819293,0.9868868077386478,0.9486753716085768,0.8716308438942733,0.5920464813467253,0.8320454810177932,0.16823469642011973,0.9881784523951141,0.9970362791751066,0.9616282224281999,0.9983942580269793,0.9905471117681032,0.903398464362695,0.9793843392218394,0.8252605653918875,0.806708262054962,0.8069340915036649,0.8936403070579382,0.894474810383022,0.8061901211577032,0.8136446290469909,0.8151598049761887,0.7467151973615698,0.9841410330524771,0.829701382696126,0.9878274617738942,0.8454768196444958,0.6071400566220635,0.736256578732957,-0.666788270161426,0.9815046943346117,0.987485837165542,0.7355288973598743,-0.4128303624208368,0.9379023725857418,-0.6065525954660101,0.688953457070908,0.7562122619037784,0.8750792445013424,0.10406882589319863,0.9675647625475694,0.9742384058493505,0.974576031104741,0.9471687302353011,0.9795107051983646,0.6641974815824845,0.8959418862074703
[IDX] KOSDAQ,0.9687896499460305,1.0,0.9802072586923243,0.9521253272167661,0.6343948308626626,0.8147545447781602,0.8126417344400365,0.982796653687522,0.9484391398183459,0.9792143177393308,0.9299060046881718,0.867930399996597,0.7682102369653321,0.7493676784865926,0.8672215001580891,0.3809978151334048,0.9853134638515191,0.9726797340411163,0.9072427606265453,0.9749534206951778,0.9359174047902523,0.7891881085772656,0.9132310163162646,0.6924413930462757,0.6692059850892299,0.6694341142816105,0.7910151905739901,0.7918879036281579,0.6684195503049852,0.6808270142897332,0.6816618978220271,0.6045556056945229,0.941825980280782,0.7001095842562692,0.9544316937186262,0.7187644520366516,0.7670748050502281,0.8593236089319713,-0.7592019511287137,0.9514177764624444,0.9544677271566419,0.5833171460340539,-0.37602157543121567,0.865577557353152,-0.749423844507275,0.525346400142702,0.603866604580798,0.7667863311676727,-0.09105565805232702,0.8948631327123743,0.9073735892653377,0.9125870411694,0.857316470055822,0.9198859007532504,0.5335019621778799,0.7844050784081152
[US] 한국 추종 ETF,0.9961423755579469,0.9802072586923243,1.0,0.9829620513457735,0.7308325025260517,0.8749836061811905,0.9010594272712544,0.9969062273912078,0.9848516468244962,0.992275812143182,0.9730594028188729,0.9245009989619414,0.8373166203828977,0.6570698300035778,0.8653400940630455,0.24339019678547552,0.9947688152786678,0.9971512762324568,0.941998747211278,0.9953793206026783,0.9811301648076645,0.8722935957564047,0.9657721444820053,0.794839150362138,0.7740598684937029,0.7742893266250186,0.8706883206541741,0.8715805551569517,0.7738448139633595,0.7819871891624326,0.7838357261796499,0.714840980389202,0.9770512868489233,0.7998606602463361,0.9827097317431561,0.8177306112715179,0.6500004212984306,0.7783925349680112,-0.7078819340471636,0.9752521922902848,0.9810178834932483,0.6979674687043981,-0.4517627872685923,0.918559354725397,-0.662090903891795,0.6562203404380574,0.7217458565149122,0.8488047955875803,0.053859933445510155,0.9516394240067876,0.9585585391213238,0.9588665947992163,0.9239203015201464,0.9630415466520925,0.6292999635854968,0.8669595699869213
[IDX] 닛케이225,0.9905991006814621,0.9521253272167661,0.9829620513457735,1.0,0.8145991255419271,0.9353126457191141,0.9429459874467033,0.9708042497613245,0.9927412862296275,0.9708541644997988,0.9897206816176642,0.959336093609352,0.8872839151957133,0.5352696393005951,0.7592084976851413,0.10087908011727431,0.9703143754324505,0.9821606627425209,0.9732114485917978,0.9904073828049579,0.986798163642043,0.9225836434573008,0.9868630698914443,0.872297809243101,0.8536415837697044,0.8538604287209118,0.9319373190501763,0.932581866336724,0.8538901591101986,0.8592934907786427,0.8601730882971961,0.8000268654315285,0.9934981878617705,0.8732839013084986,0.9880413658805998,0.8900269589995548,0.5532902455513521,0.7041403787429319,-0.5958842237267458,0.9855666840133032,0.989703647704912,0.7802266488657398,-0.37183824634750084,0.9548207658059271,-0.5429307804932322,0.75251358468361,0.8107556845505415,0.8951074621535849,0.201061036207965,0.9805609269826452,0.9853470923016332,0.9866743661986794,0.9644617157519589,0.9813721545262538,0.7110093731902511,0.923673699254491
[IDX] 항셍,0.7745908670928817,0.6343948308626626,0.7308325025260517,0.8145991255419271,1.0,0.9556353251491359,0.9321450752581695,0.6871859173274084,0.8233493896234791,0.7003278680059576,0.8603523149790164,0.927945287377312,0.9218889789684612,-0.002224872283549992,0.364714583679422,-0.4378132183006719,0.6816823632354486,0.7385528115239353,0.8823382359238932,0.7661455927472437,0.8185797344512601,0.9632582773469576,0.8554683491619416,0.9728138488055633,0.9816482753448854,0.9820600908286983,0.9367339073049872,0.9375756208751972,0.9797790675275556,0.9756220759440247,0.9767863103156229,0.9560052258818625,0.8379554450774256,0.983151946393352,0.8139738293075777,0.9678983055575631,0.05481011021811263,0.225464045682714,-0.1997551439334507,0.8168266456368014,0.8145540561736324,0.9839495183043501,-0.33781393957401906,0.897298193491516,-0.0446880682800775,0.9335234113961167,0.9760208496770714,0.9660220038968393,0.64404148233309,0.8977302990706184,0.8960385024068201,0.8921502379596326,0.9323284878391959,0.8697645918475815,0.8301268674369534,0.9537534118268985
[IDX] 상하이종합,0.905191868955475,0.8147545447781602,0.8749836061811905,0.9353126457191141,0.9556353251491359,1.0,0.9882893598272018,0.8412627270016478,0.9369760101188536,0.8538923940978848,0.9571605030468298,0.986520449238132,0.9383211128741276,0.27548868577155616,0.5471816344642376,-0.19896935081924413,0.8405053973354919,0.8779026853262732,0.9671814715780712,0.9025867115161814,0.9332291534582806,0.9906496351845215,0.9533219982774535,0.9720518468644225,0.9663775828013562,0.966561361724201,0.981430748851218,0.9820681767715636,0.9658917972073389,0.9658306407844146,0.9652403757885826,0.923788437045268,0.9469522589868876,0.9701631109503649,0.9261251717117149,0.9729385215483859,0.3279092568722896,0.4793937463992822,-0.36053559121550427,0.928230356055596,0.9279844089505231,0.9230833631285237,-0.2495893944784064,0.9662692217540366,-0.2589350485735772,0.9063926152372068,0.9431639333281617,0.9644405337893618,0.43245603716593206,0.9748711966832535,0.9766586109738031,0.9744131510699665,0.9872092769653562,0.9593080090231327,0.8209684419702447,0.9846844222406239
[IDX] 대만가권,0.9286301904750226,0.8126417344400365,0.9010594272712544,0.9429459874467033,0.9321450752581695,0.9882893598272018,1.0,0.8729200130026007,0.9568476048673877,0.8863859714658165,0.971620883873935,0.9880675419814341,0.9491962516438783,0.26439265278279395,0.5928303742177315,-0.15232023906028314,0.867112360523056,0.9063538700179493,0.9657972114995309,0.9213757722386486,0.956435241161669,0.9925543884545386,0.9740851679849571,0.9575470290032159,0.950368557765616,0.9507056712862041,0.9784619432850583,0.9793666505996436,0.949725617132682,0.9519353619867243,0.9520216618581653,0.9047613595773576,0.9586776135833606,0.9620571220765339,0.9415470216370498,0.9647792906836176,0.35406430601264377,0.5055908250501886,-0.43415179749181887,0.9365821540593124,0.9414903022240831,0.9141378435317173,-0.2302997067758919,0.9688077467945226,-0.30890372124783183,0.8571083584289096,0.9149226463892586,0.9523679284400433,0.37099388150499724,0.9825333747331332,0.9864043797051999,0.9800129472379107,0.9953004769903956,0.9757285992603735,0.7833125686385626,0.9859562525518336
[KR] 삼성전자,0.9914015074905617,0.982796653687522,0.9969062273912078,0.9708042497613245,0.6871859173274084,0.8412627270016478,0.8729200130026007,1.0,0.9747695159250843,0.9931721477329825,0.9584273514764642,0.9011310367472855,0.8113941091721014,0.6774107033090508,0.8860570988212677,0.2848932618214458,0.9963848778288376,0.9957720073758322,0.9228264487280055,0.9910098809166902,0.9725313408546228,0.8425048992338997,0.951013474438053,0.7485679412217152,0.7261704241709214,0.7263924719693992,0.8334511338124531,0.8343364072607884,0.7257773560531776,0.7347125246266226,0.7367172446839773,0.6609197832688897,0.959571551870771,0.7536331534625661,0.9692653603509332,0.7732535685863274,0.6850221696393924,0.7954701661436903,-0.729014981748407,0.9609065548286212,0.9686845844130256,0.6456862142196094,-0.4236214305021991,0.8921139733006943,-0.6890365177450585,0.5971983767894756,0.6696295679683727,0.8149182409728473,-0.010747035429985148,0.9311857396666424,0.9380635895853927,0.939357072051809,0.8994260867155478,0.9484771543744314,0.5921259220382211,0.8358708373999137
[KR] SK하이닉스,0.9948815704892129,0.9484391398183459,0.9848516468244962,0.9927412862296275,0.8233493896234791,0.9369760101188536,0.9568476048673877,0.9747695159250843,1.0,0.9762333360209934,0.9956493513953921,0.9722523093936548,0.9079750963222437,0.5301740348439851,0.7785200188555257,0.08302981188534206,0.9722722698132112,0.9860282008832545,0.9792295875185223,0.99418858499293,0.9894447651417961,0.9349478332343237,0.9847915715503489,0.8716505736446668,0.8553366787128387,0.8554417887289305,0.929065369765036,0.9297632037129289,0.854828100820781,0.8621295014902647,0.8629844061076964,0.802148945683917,0.9913398391708361,0.8721272625204345,0.9919796287043487,0.8877465836811395,0.5503183514975956,0.6961150967959503,-0.6141941093479057,0.9884100027808508,0.9922680382049364,0.7898590505056177,-0.37814127555564,0.9651581596236593,-0.5386582232892329,0.7483200485975603,0.8093058398831071,0.9013925123987552,0.18379074684583294,0.9812185264728831,0.9883018088229305,0.9878223736379677,0.9705685106503745,0.9930254346983751,0.7018438794395132,0.9272558392215204
[KR] 현대차,0.9884157259819293,0.9792143177393308,0.992275812143182,0.9708541644997988,0.7003278680059576,0.8538923940978848,0.8863859714658165,0.9931721477329825,0.9762333360209934,1.0,0.9589584112071913,0.9073763174912775,0.8230047141963632,0.671000531860542,0.8705616020029531,0.26780768208192457,0.9978640424875025,0.9919181128108187,0.926688710862377,0.9910987086673749,0.9644052244715933,0.849145309906386,0.9449930310349091,0.7619630877254153,0.7413144297176067,0.7414139176242982,0.8441527845947655,0.8448645278450396,0.7409004592249603,0.7503598261176117,0.7522240011845529,0.6804374598782073,0.9604074834141831,0.7621021319321807,0.9696211857221555,0.7842586624641087,0.6716206819866426,0.7878817913779469,-0.7038201516773139,0.963728942970657,0.9690043351057278,0.6613504599872394,-0.39026278990727803,0.9039349173623881,-0.6637292180777915,0.6162403783673464,0.6853200187617443,0.817447124672194,0.01425526776322563,0.9329134857043253,0.9407599610624263,0.941631153505851,0.9045760097224869,0.9543639840499084,0.6072102977838424,0.8453738513720161
[KR] 두산에너빌리티,0.9868868077386478,0.9299060046881718,0.9730594028188729,0.9897206816176642,0.8603523149790164,0.9571605030468298,0.971620883873935,0.9584273514764642,0.9956493513953921,0.9589584112071913,1.0,0.9844445781313648,0.9246842856335207,0.4762478887964704,0.7409967360552391,0.023652599023059766,0.9542877843129025,0.9740849216324472,0.9875540759227643,0.9845386356281565,0.988823092705492,0.9534569565495997,0.9917235785024896,0.8983325156334742,0.883389412960509,0.8835107414695903,0.9450156897207939,0.9457567825388272,0.8825659860180336,0.8887116680867375,0.8895751878849475,0.8310007553632638,0.9927675200937289,0.899807119385619,0.9908564687745142,0.9127925924234407,0.5103540044369422,0.656849575042646,-0.5918015307616488,0.9882981967567165,0.9916427580116749,0.8254897940668642,-0.3822494208425703,0.9747789885056338,-0.4988447945018237,0.7814082267385656,0.8418531325177915,0.9258246245620899,0.2310880709597354,0.9891536936396949,0.9955278672000125,0.9956298023467752,0.9837944034075858,0.9952830717589018,0.7218385156744339,0.944448203264829
[KR] 현대로템,0.9486753716085768,0.867930399996597,0.9245009989619414,0.959336093609352,0.927945287377312,0.986520449238132,0.9880675419814341,0.9011310367472855,0.9722523093936548,0.9073763174912775,0.9844445781313648,1.0,0.960590736804277,0.3437786679768492,0.6349331145276403,-0.1225818213135201,0.8961848125301767,0.926928233090658,0.9875366780154884,0.9463737186341836,0.9601788046816873,0.9836171761761918,0.9705520177334012,0.9467753069128517,0.9405713194665656,0.9407072145081105,0.9703534710990936,0.9710984686478992,0.9392751211428721,0.9441476572584208,0.9451071442195899,0.9000156454134346,0.9726861333231956,0.951181855274667,0.9662947168794552,0.9557945971871449,0.389250173969889,0.5523048360724091,-0.4809646154276501,0.9661803374061947,0.9663908398748471,0.8991739576873202,-0.34834881694855563,0.9836928835327159,-0.3672433628639068,0.8508583046659981,0.9076436042406453,0.96169494933602,0.37484522175700236,0.9851814319518747,0.9911762238592687,0.9896470608442048,0.9945516843224725,0.9872736058588982,0.772706996478879,0.9739401457356344
[KR] 네이버,0.8716308438942733,0.7682102369653321,0.8373166203828977,0.8872839151957133,0.9218889789684612,0.9383211128741276,0.9491962516438783,0.8113941091721014,0.9079750963222437,0.8230047141963632,0.9246842856335207,0.960590736804277,1.0,0.23503006111702165,0.5161172979155544,-0.252639556424264,0.8061881044492534,0.8401446519387222,0.9461323189610837,0.8687853370707356,0.8870848259355568,0.9586236565345534,0.9095367946770248,0.9479449101422687,0.9445314135586057,0.9443306165278039,0.9507736872034102,0.950999262879297,0.9430387884366392,0.9501729349016917,0.9504358759962006,0.9218537142395091,0.9091258228455531,0.9416258261360384,0.9049876947137071,0.9535954383423417,0.2591648012191899,0.45128433949811414,-0.3741146940153123,0.9061915606038168,0.9031388005893127,0.915148525719413,-0.2359444345727727,0.9592515681591267,-0.22527456676021748,0.8862780318195894,0.9218759504648874,0.9159380566943438,0.46927528013011466,0.922534535603128,0.9361243719895721,0.931145911418328,0.9573948125868144,0.9359504313845894,0.729463500592883,0.9412140806955879
[KR] 카카오,0.5920464813467253,0.7493676784865926,0.6570698300035778,0.5352696393005951,-0.002224872283549992,0.27548868577155616,0.26439265278279395,0.6774107033090508,0.5301740348439851,0.671000531860542,0.4762478887964704,0.3437786679768492,0.23503006111702165,1.0,0.7827910862067994,0.8460815562375262,0.6927206948020531,0.6221285815934905,0.4410228770570142,0.6093218795367024,0.508902054443691,0.21445236603598053,0.46025792491562917,0.10204324466262397,0.05983039781692965,0.05969215681624266,0.25349402850966113,0.25385067024806796,0.05990040129126426,0.07714056572829928,0.07583362033808907,-0.015220496501493905,0.524797633313078,0.0919869522032347,0.5670725177865231,0.13616219313185007,0.942268539621229,0.9203066398751207,-0.8431444592974814,0.5662997407897832,0.5677800216125883,-0.05608472332070051,-0.23809601113668624,0.39041853033823654,-0.9408278382042934,-0.0925255988937467,-0.014342856516094524,0.1906913529181792,-0.6758655855979818,0.4186271413305817,0.43626613242686907,0.44899679141615817,0.34436041840223786,0.4751584762395666,-0.025808132847369,0.21713597432675794
[KR] LG전자,0.8320454810177932,0.8672215001580891,0.8653400940630455,0.7592084976851413,0.364714583679422,0.5471816344642376,0.5928303742177315,0.8860570988212677,0.7785200188555257,0.8705616020029531,0.7409967360552391,0.6349331145276403,0.5161172979155544,0.7827910862067994,1.0,0.5506901967089981,0.8848444099595217,0.8665137746831223,0.6628720680091527,0.8248389976732149,0.7991910582844562,0.5719498680540304,0.752324746354046,0.4307217726235594,0.4073550218803958,0.40819604581306673,0.5444826878804006,0.5456895594263872,0.40798255096180464,0.41340857743276443,0.41908982395487043,0.33153859302535077,0.7500730961254829,0.4533611959856798,0.7641279125732431,0.4676164641088381,0.7344716187609704,0.7742547392331789,-0.7484174191994112,0.7367879479701748,0.7559099592481211,0.31788065405907767,-0.513186197061323,0.607137530806389,-0.7981975060246999,0.26991767569069414,0.3426746553986234,0.5626616653543731,-0.29000489759137577,0.7097190345420449,0.7119059229552607,0.7112094088789538,0.6434901752851844,0.7273769569888167,0.3873156552060822,0.575845125155667
[KR] KODEX 2차전지산업,0.16823469642011973,0.3809978151334048,0.24339019678547552,0.10087908011727431,-0.4378132183006719,-0.19896935081924413,-0.15232023906028314,0.2848932618214458,0.08302981188534206,0.26780768208192457,0.023652599023059766,-0.1225818213135201,-0.252639556424264,0.8460815562375262,0.5506901967089981,1.0,0.29878507494644474,0.21744773177728682,-0.032786518458464864,0.18452074243853275,0.07705105386159466,-0.25812473737076547,0.006970966857587395,-0.3963114236527166,-0.426463414455869,-0.42611190550072453,-0.24719166508476967,-0.24647711648273213,-0.4270790903602819,-0.4105449151098086,-0.4092188089275486,-0.48303337541817953,0.06737002910771572,-0.3817412214205961,0.11008556753109301,-0.36115802371672845,0.8329997243280217,0.6970758991444745,-0.6544355808202108,0.10402167930096977,0.10836274080944416,-0.5066344921209658,-0.1329706657458963,-0.10820145526447426,-0.8439990924153618,-0.5638405221658224,-0.5007105088190967,-0.2401406478672862,-0.8916729321719884,-0.04871816408037574,-0.03282611333211912,-0.019066323287710983,-0.14216999448077722,0.0020432365530927547,-0.4049294671711977,-0.25460983448405156
[KR] KODEX 자동차,0.9881784523951141,0.9853134638515191,0.9947688152786678,0.9703143754324505,0.6816823632354486,0.8405053973354919,0.867112360523056,0.9963848778288376,0.9722722698132112,0.9978640424875025,0.9542877843129025,0.8961848125301767,0.8061881044492534,0.6927206948020531,0.8848444099595217,0.29878507494644474,1.0,0.9934636929449622,0.9201592402149708,0.9898635869462549,0.9643588028223093,0.8361555355389642,0.9441171114788598,0.7453870417556505,0.7229268934850595,0.723107145476398,0.8314370710289827,0.8322536183481974,0.7225685409005971,0.7316551726603813,0.7333604115891057,0.6581440386483642,0.9580322160107551,0.7474108824203627,0.9671108586941222,0.7686920950745938,0.692084539459433,0.8031309618635954,-0.7247269622297415,0.9602835678440639,0.966504285317349,0.640382525622483,-0.4018892309792857,0.8921859441124075,-0.691308824930235,0.5941375982034429,0.664715996110735,0.8067972098715677,-0.01826689002684153,0.9274866623122268,0.9351983408221457,0.937018762448196,0.8949675393709723,0.9466768136937908,0.5914686071699765,0.8314646849074726
[KR] TIGER 200 건설,0.9970362791751066,0.9726797340411163,0.9971512762324568,0.9821606627425209,0.7385528115239353,0.8779026853262732,0.9063538700179493,0.9957720073758322,0.9860282008832545,0.9919181128108187,0.9740849216324472,0.926928233090658,0.8401446519387222,0.6221285815934905,0.8665137746831223,0.21744773177728682,0.9934636929449622,1.0,0.9399234152569035,0.9948334634436162,0.9842740751296988,0.8788501644495699,0.9678629632519015,0.7920781376596554,0.772686948259213,0.7730042605888693,0.8670071045957006,0.8679222279694895,0.7723752755987527,0.77955331670766,0.7817008837613537,0.7105622203548516,0.9719357489447205,0.7989386096504897,0.9757222072594376,0.8143815440475227,0.6325221516112189,0.7501620602364055,-0.6860828127379717,0.9671458081170556,0.9751211054098493,0.6994473191026409,-0.4302008911434798,0.9124856879260136,-0.6367386779521937,0.6501566748524723,0.7193369603725387,0.8539649824499327,0.06383878811918155,0.9543639040586782,0.9590927353197198,0.9595807030513352,0.926464765840784,0.9653659611269865,0.6447300288726288,0.8736805931665468
[KR] TIGER 의료기기,0.9616282224281999,0.9072427606265453,0.941998747211278,0.9732114485917978,0.8823382359238932,0.9671814715780712,0.9657972114995309,0.9228264487280055,0.9792295875185223,0.926688710862377,0.9875540759227643,0.9875366780154884,0.9461323189610837,0.4410228770570142,0.6628720680091527,-0.032786518458464864,0.9201592402149708,0.9399234152569035,1.0,0.9618998965311043,0.9650258749882439,0.9589737424532998,0.9753499420314603,0.9182942955742434,0.9046133030970308,0.9046107974102159,0.9581368721619018,0.9586179112166475,0.903720212998872,0.9108746829217185,0.910149587317405,0.8582870662725085,0.9831675315913915,0.9156063325649049,0.9820177059604321,0.9293465051751857,0.4714822621182016,0.6331603821165518,-0.5397735875980637,0.9840254070265626,0.9826962846774032,0.8457383205446277,-0.3267788106007454,0.9858895765765506,-0.4463096297820175,0.8106233192094954,0.8675770514551806,0.9208673616514411,0.2770826334913293,0.9755926373412372,0.9875575385296035,0.9885486358400317,0.9822083193178405,0.9875463944122941,0.7311285263810452,0.9466116446795523
[KR] TIGER 반도체,0.9983942580269793,0.9749534206951778,0.9953793206026783,0.9904073828049579,0.7661455927472437,0.9025867115161814,0.9213757722386486,0.9910098809166902,0.99418858499293,0.9910987086673749,0.9845386356281565,0.9463737186341836,0.8687853370707356,0.6093218795367024,0.8248389976732149,0.18452074243853275,0.9898635869462549,0.9948334634436162,0.9618998965311043,1.0,0.9838338071621304,0.8955588439610771,0.9724901039458209,0.8189229393425458,0.7996645291327711,0.7997829322080996,0.8907933350482871,0.891548299410451,0.7991379954903807,0.8078345192561833,0.8090285740958576,0.7414643298277891,0.9839305039268632,0.821030683335063,0.9886841545062165,0.838950011543149,0.6280092882590673,0.7554892712155493,-0.6738476817616514,0.9849812461009657,0.9893674818331607,0.7262787387623324,-0.386817713207628,0.9393281956366749,-0.6150994947123738,0.6795775522222658,0.7477234675768933,0.8655719796276534,0.09177771066328261,0.963801569931632,0.9708214158994015,0.9720809596627503,0.9424409067853694,0.978171226357033,0.6513054920750382,0.888608730261501
