,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 IT,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[KR] 신한지주,[KR] 하나금융지주,[KR] KB금융,[KR] 우리금융지주,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 아마존,[US] 제타,[US] M7 ETF,[US] 모멘텀 ETF,[US] 반도체 ETF,[US] 소프트웨어 ETF,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 일라이릴리,[US] 존슨 앤드 존슨,[US] 애브비,[US] 제이피모건,[US] 뱅크 오브 아메리카,[US] 모건스탠리,[US] 골드만삭스,[US] 이즈코프,[US] 이머징 마켓,[US] 선진국 마켓,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드,[IDX] 닛케이225,[KR] 코스피200롱150숏선물
[IDX] KOSPI,1.0,0.8047753670550122,0.9829837268093649,0.907030826320024,0.8589805469246228,0.8214332651208868,0.9527212544228801,0.9889800636710694,0.9518251658325345,0.9927084536599329,0.9813469639436284,0.9138489508486285,0.8345423881632635,0.15401156505696403,-0.2392346229671731,0.9924192495266634,0.9933667587951414,0.9831272422640189,0.9829249584037263,0.9879167589747202,0.9589320228164157,0.8965526421805887,0.9217970332650891,0.9314509155449355,0.9226276404871381,0.851271867688802,0.968547839402766,0.7611426030225658,0.7584447781637762,0.7580961902944283,0.708617330375062,0.7123773090150917,0.7504055681551737,0.7812720098963156,0.7945662638599744,0.745150721272788,0.9321360079401624,0.7187881522320099,0.9794167056700196,0.8773650332319767,0.3219919168980557,0.984271880402829,0.7940109111697166,0.9903913208874431,0.9871449568591019,0.7098970410725183,0.7584962527928623,0.9384984079235579,0.4941483227767751,0.2575073165983973,0.7128646909106966,0.7690313483981065,0.8890507634965665,0.5102829442175952,0.6015397168729353,0.7115963142272728,0.9092602946317916,0.8560364284406218,0.989008225050674,0.9222390783585781,0.8322073168929237,0.7813864894986174,0.8698946783599208,0.8800283176610679,0.9365764813912203,0.9514399493830731,0.9677766054290924,0.94814476915119,0.9627394364355982,-0.166065611729202,0.8834182012601952,0.9112729157595246,0.9590744000945662
[IDX] KOSDAQ,0.8047753670550122,1.0,0.8865059129111157,0.4896273787339083,0.39291730402939506,0.3268589799855733,0.9321462287870964,0.7153258173557858,0.622148292052111,0.743773026350101,0.6793816529000821,0.8863720079968539,0.9706616695210026,0.6378723663334137,0.37483103709641846,0.7672802639520345,0.8627745879376806,0.8810701058070134,0.8466225340206363,0.8792350665950335,0.6084111405097512,0.48058189407180274,0.5205999005304374,0.5474608930392744,0.5235038495718067,0.3868940287207431,0.6408389351425999,0.23895434118917802,0.2319507649291291,0.23127016751722093,0.1862586542930565,0.19227617514231432,0.22082694505008935,0.26817365083651284,0.29022825547202635,0.22090986802841972,0.5539011955585504,0.17185737440236074,0.6992662200835407,0.468125060305157,0.809437852486247,0.7910223043442242,0.3205724600089956,0.7315321294344314,0.7106728182051023,0.17234036971347522,0.23482576838913904,0.5649889822219055,-0.10273128283574132,-0.33892529394965165,0.1684197210526787,0.2479503544660059,0.4524328105380395,-0.08602745494732937,0.047214817391408107,0.1641387165788982,0.5019663973426921,0.3918584449347151,0.8359602162715778,0.5244386186919783,0.3470856568368177,0.2695256634414462,0.4163704399113462,0.4320882101853422,0.5538053651747423,0.5938813382005705,0.6493805103794034,0.5803584856492381,0.6501297931533008,-0.580218726631809,0.47072515328494,0.49471991792492065,0.6173719839160247
[US] 한국 추종 ETF,0.9829837268093649,0.8865059129111157,1.0,0.8206804740810111,0.7628235029338291,0.7133592257976987,0.9859270948777097,0.9513527588751379,0.8923310065604593,0.9592309839151153,0.9333025524886167,0.9437317775627787,0.9127210392587586,0.2861237968512374,-0.07417984852891435,0.9623733839264871,0.9953106578515805,0.9903770992355888,0.9754320742999216,0.9948471233032752,0.8964897057773191,0.809574615827784,0.8447655259864151,0.8597726889333008,0.8458119100208201,0.7529030507272378,0.9139714284785602,0.649039922305142,0.6402076748863083,0.6398273454889639,0.5978952232626572,0.6027776687620893,0.6317732707224105,0.6653468383251758,0.6819012733217374,0.6281795773140293,0.8622385124398696,0.592871140490467,0.9443271216323225,0.7826606998392233,0.4680687806113177,0.9749136645183045,0.6943011939177416,0.9550419393187046,0.9477228617950537,0.5744118076599937,0.6460528018842298,0.8639673388719639,0.3441433479807249,0.12860458208504208,0.58113707565828,0.6528832338496076,0.7997463820963884,0.36888009228011176,0.4526948729798216,0.5801405311568716,0.8275017412855393,0.7596850299182853,0.9845787692812635,0.8436330408852244,0.7262630420892127,0.6693645745939504,0.7748775187664416,0.7867287930901257,0.860479219155002,0.8940716389284317,0.9220436163070302,0.878170304791142,0.9154837209701684,-0.312503318556323,0.7899129471624645,0.8246387928859201,0.9009598542671758
[IDX] 항셍,0.907030826320024,0.4896273787339083,0.8206804740810111,1.0,0.991572532570257,0.9807720003912384,0.7431112132969957,0.9523788644357901,0.9584831425385602,0.9420343479295843,0.9664072765471258,0.7404481977381014,0.5549800014647468,-0.22274733635892893,-0.6167889424630046,0.9210086763752664,0.856596380802875,0.8270474640065998,0.865753794776805,0.837807250058773,0.9869813493355937,0.9924995747999678,0.9952016920756598,0.9928417627409942,0.9948527869107294,0.9860260401821106,0.9786043663608538,0.9529506506253489,0.9576130675204487,0.9574904106190038,0.9126999249975448,0.9140114506149709,0.9533347303994838,0.9675474573409926,0.9719176796299549,0.9489389208204153,0.9875098807749705,0.9395098880989267,0.9449594486171389,0.9749449471546107,-0.08453458538047716,0.8941854429240355,0.944651578096244,0.9437573107816121,0.9524336654635401,0.9370654577920715,0.9559484727568597,0.9921127847546614,0.8093114795014458,0.607375867519751,0.9381551673246894,0.9603854353313745,0.9943376474534662,0.8107623595707867,0.8631659486097578,0.9366755180134134,0.9925035225347577,0.9863299719905585,0.868298082588857,0.9925594937508787,0.9833603393946759,0.9621474522579849,0.9891771926874828,0.9905785522037445,0.9918401838959062,0.9856422474975308,0.969035596300598,0.9903952254850462,0.9553310498077521,0.20793130731310666,0.980906434703639,0.9974742066234084,0.968906709806384
[IDX] 상하이종합,0.8589805469246228,0.39291730402939506,0.7628235029338291,0.991572532570257,1.0,0.9928613136493767,0.6744173490255545,0.919662771466682,0.9333008468673349,0.9018718345720725,0.9382841638201634,0.6612627705051455,0.4594854731928596,-0.3228341518398254,-0.6934374517500272,0.8755149886606071,0.7999332215952358,0.766418798832313,0.8044632813437456,0.778857572665928,0.9661280403552528,0.981967750441257,0.9837819289079561,0.9759335883135526,0.9832899399048406,0.9894969283375428,0.9532800576024513,0.9713374013950697,0.976846656368242,0.9769817764704861,0.9305269125428918,0.9314147872227504,0.9734886537345804,0.9823387891640895,0.9843927524204186,0.9679563367272104,0.9699145346196906,0.9670702806164907,0.9171736791937896,0.9661909526367854,-0.20243323001472166,0.8428507391137342,0.9446894012662831,0.9071434351766595,0.9197360931787507,0.95672663393389,0.9778173951160509,0.9756146469862413,0.8581833074941346,0.689796442478602,0.962775861507696,0.9791003389039448,0.9910903086386526,0.8609852137256183,0.8948800975880957,0.9618948120880336,0.9849736160573992,0.9924404649789197,0.8163810604782292,0.980157421714115,0.9912091803908291,0.9772022375396611,0.9883301217929645,0.9903753460504343,0.9770312751321845,0.9664500283374559,0.9408233273750181,0.973321331148434,0.9324732322822047,0.2450689415611652,0.9713133183446466,0.989921136483113,0.9510607881673057
[IDX] 대만가권,0.8214332651208868,0.3268589799855733,0.7133592257976987,0.9807720003912384,0.9928613136493767,1.0,0.6192435760549977,0.8896992262723598,0.9216056246551925,0.8682084782013927,0.9111937807776906,0.6155668780476122,0.3976941335501366,-0.37689953186452596,-0.745885020797206,0.8463488765379397,0.7548579509510502,0.7173527480848997,0.7628937349961353,0.7312060531969137,0.9461438403236728,0.9787384701730578,0.9723567795381957,0.9629651689387897,0.971287540423801,0.9898913237025948,0.9295282028871893,0.987475674306788,0.992152251059602,0.9920078388451273,0.9570560652256196,0.9570507755278289,0.9899524185341967,0.9948533855026944,0.9953643616320548,0.9849937015566351,0.9617270943355252,0.9852486603556737,0.8884912743642377,0.9638063532128017,-0.2699441242919309,0.8096931281419474,0.9659004048630372,0.8749373590621462,0.889808626141386,0.974558207784629,0.9869717582644123,0.9602077645589479,0.8970928978879331,0.7446440131517147,0.9814791933787698,0.9934106460318933,0.9886502374378566,0.9008265771079388,0.9241753710637771,0.98057028595315,0.970121243422774,0.9888282933435589,0.7699803344871906,0.9714743454868366,0.9968360031195056,0.9914278713254651,0.9916983008561469,0.9896933414171326,0.9639962850849748,0.9466050454202356,0.918128334453726,0.9548112040725942,0.906217024089075,0.3175761190091117,0.9675530499667574,0.9810156051806967,0.9288511017343098
[KR] 삼성전자,0.9527212544228801,0.9321462287870964,0.9859270948777097,0.7431112132969957,0.6744173490255545,0.6192435760549977,1.0,0.9073590634789992,0.8349127740517512,0.9144879329125815,0.8800259827458776,0.9280437561220503,0.9376775309164697,0.3945192331821769,0.04337461332096887,0.9284108207556028,0.9792511806499357,0.9767017624277453,0.950659040396949,0.9850577092318342,0.83184681962944,0.7262554372577482,0.7651993733894883,0.781887812012844,0.7672578708656412,0.6573566051257291,0.852173316115344,0.5410996735149348,0.5345905585784542,0.5337530515810227,0.4825614543167974,0.487022503002144,0.524077134516648,0.5638889050090233,0.5814014151023156,0.5189791243692417,0.7867245945558844,0.48516628545290685,0.8999983857848957,0.7063222408132792,0.5691129949171739,0.9324781872269494,0.5921150027591343,0.9101932354165282,0.9009318782035941,0.4713988252816733,0.5382970156296828,0.7963242392119504,0.22317053967089934,-0.01801431778014331,0.4769327542978355,0.5482726495427401,0.7144461286774644,0.24071553726451306,0.35710543226175984,0.47167669801899337,0.7474772411053999,0.6731575848361919,0.9611077040860229,0.7708096950450607,0.6355627662642152,0.5676362126447237,0.6883078447885829,0.7037099044661485,0.788568223622237,0.8214327443321633,0.8576793948058701,0.8153349809704248,0.8725031176628819,-0.39289578996191216,0.7202694277702261,0.7491878931539991,0.8515466472181193
[KR] SK하이닉스,0.9889800636710694,0.7153258173557858,0.9513527588751379,0.9523788644357901,0.919662771466682,0.8896992262723598,0.9073590634789992,1.0,0.9691839542583731,0.9928846193046871,0.9953272716800105,0.8673094627007668,0.7547076419095486,0.020042514718219603,-0.3704794613807704,0.9854933836020886,0.9695492067163016,0.9481273930661043,0.9595011529946367,0.9606910949935155,0.9857052416587394,0.9415086847106579,0.9608572176417844,0.9656058562329916,0.9617282207893763,0.9078641643345617,0.9889414639932153,0.8360158140455545,0.8362721647706618,0.8358608825469063,0.7832728131660006,0.7860524584125205,0.8289079257044126,0.8552025482561934,0.8657621531777556,0.8236839875466667,0.9663238995604881,0.8042459769805002,0.993829696873575,0.9236084724736502,0.18986127681103349,0.9715463044071004,0.8523695778142146,0.9931554784732541,0.9951753889190043,0.7945430084756611,0.8371111201575132,0.9728656090224114,0.605801305248373,0.3766027315968183,0.7984922123494987,0.8447515026495191,0.9394327381375682,0.614970519251893,0.6976197725352559,0.7951115054934594,0.9515586126452594,0.9162213716834673,0.9679377116405772,0.9623140796085902,0.8968429284241991,0.853679026729533,0.9239866415330668,0.9323188823782261,0.9700933581876432,0.980129334642974,0.9850642475850958,0.9800768896994663,0.9856612529512502,-0.0570940177695667,0.9307992074853365,0.9556307687659648,0.9857853124545353
[KR] 현대차,0.9518251658325345,0.622148292052111,0.8923310065604593,0.9584831425385602,0.9333008468673349,0.9216056246551925,0.8349127740517512,0.9691839542583731,1.0,0.9634338018630071,0.9788278693358117,0.8197142108869463,0.6663583126884682,-0.01475631892674337,-0.4590359330352569,0.9760769177500507,0.9178662303170193,0.8991420455306709,0.9137777230561621,0.9009516841649875,0.9757047167958106,0.9552904839950123,0.9647553902527781,0.9663463517004107,0.9633022748833168,0.9317257886782278,0.9725378510735092,0.8792592343956612,0.8795882578937935,0.8790504162881835,0.8427503836476967,0.8448030728165768,0.8740933510972638,0.8957784593369029,0.9038999356468957,0.871141048180469,0.9758668772150434,0.8518208562247692,0.9610975950729069,0.9467215894421511,0.08050928258524648,0.9373630388693611,0.9079347681361026,0.968124551702539,0.9707975045467516,0.8416359989781874,0.873625420358795,0.9725076863639821,0.6787455194779152,0.4684507548715573,0.848933941395632,0.8882167630125495,0.957501370755005,0.6995474326341551,0.7641513887026663,0.8479199465524874,0.9495753824548216,0.9222545013514518,0.9113963638405694,0.9652056893488572,0.9242201184711115,0.8929168371892344,0.9508074481320589,0.9545375639290726,0.9743086148690548,0.9707218873854808,0.9688571481078578,0.9704183487298095,0.9546107321148602,0.0639249429716327,0.946728760965772,0.9669473111475981,0.9745010714547472
[KR] 두산에너빌리티,0.9927084536599329,0.743773026350101,0.9592309839151153,0.9420343479295843,0.9018718345720725,0.8682084782013927,0.9144879329125815,0.9928846193046871,0.9634338018630071,1.0,0.9938664178819968,0.8839260018653622,0.7796005893546045,0.06563763568872245,-0.3276269852360981,0.9887125789273272,0.9751360234906639,0.9662781268675967,0.9709949726704211,0.9666094749172277,0.9810693280635572,0.9316247576780423,0.9543596694448613,0.9616118947374379,0.9548223308569428,0.8979313333190307,0.987775530339874,0.8149022078117135,0.8138396453567646,0.8137784144107452,0.7620339243045415,0.7655984707487724,0.806605158233461,0.833886664135941,0.845360898754471,0.8000015001862809,0.9569301358661748,0.7792651496231413,0.9813113485608593,0.912189747435803,0.2345362700900671,0.9790757590491692,0.836587473029839,0.9959829711901067,0.9945556461391204,0.7735229056576166,0.8122361286155307,0.9648122734876319,0.5688743097847394,0.3371859067946681,0.7734380066487273,0.8229997593174486,0.9258286967137138,0.5837515283664192,0.6652644950667126,0.7746828935929906,0.9456285482928192,0.9000995890568532,0.9802138681020779,0.9528174674232105,0.8782113853449579,0.8324509372095409,0.9080252020854525,0.9170810676972405,0.9651295660190897,0.9734757530276412,0.982573507023051,0.9722364407356574,0.96976674520503,-0.10004650638779569,0.9151911930013,0.9445485569033893,0.9730292026994078
