ticker,n_points,n_years_max,n_years_min,median_final,median_max,median_max_month,median_max_day_idx,median_min,median_min_month,median_min_day_idx
[US] 한국 추종 ETF,269,27,4,0.9287657485234702,1.0683592647692393,12,18,-0.16175182850270797,2,21
[US] 금,269,22,4,0.11381529906862276,1.126730603800681,11,19,-0.008040846018891712,1,4
[US] 은,269,21,4,0.15333114963532202,0.5383521655761947,2,21,-0.3666667352314682,5,23
[US] 미국 오일 펀드,269,21,4,-0.8665511712389127,0.5349309350505764,7,22,-0.8665511712389127,12,23
[US] 원자재 펀드,269,21,4,-0.27659824906783315,0.4151240121454869,6,10,-0.6054658212029236,12,18
[US] 아마존,307,30,1,1.5332509266831484,1.7862881264485673,12,24,-0.23468624671354432,6,23
[US] 일라이릴리,316,37,1,1.981447124304267,2.0,12,26,-0.5708812260536398,3,26
[US] 존슨 앤드 존슨,316,37,1,1.8763636363636365,1.92,12,26,-0.2610196934302964,2,12
[US] 애브비,269,14,2,1.1578497117565525,1.1578497117565525,12,23,-0.20776923110095497,1,20
[US] 제이피모건,316,37,1,1.0487805763076623,1.7040358845651435,11,26,-0.050730008110713265,1,23
[US] 뱅크 오브 아메리카,316,37,1,1.0777777777777777,1.7758620689655173,11,26,-0.26262626262626265,7,4
[US] 모건스탠리,316,34,1,2.0,2.0,12,27,-0.15708178545380624,7,4
[US] 골드만삭스,269,28,5,0.7670365924224236,1.1368078175895766,12,22,-0.44834554605466526,9,1
